ConstructionType,ConstructionName,CementQuality,CementPrice,BrickQuality,BrickPrice,SandQuality,SandPrice,IronQuality,IronPrice,EnvironmentalCondition,Seller,Price
Roads,MarineDrive,High,280,High,20,High,440,Medium,46000,tightsoil,BirlaCement,3500000
Roads,Rajpath,Low,320,Low,50,Low,240,Low,40000,loosesoil,UltraTechCementLtd,2930000
Roads,AnnaSalai,Low,490,Low,50,High,470,High,36000,tightsoil,JSWCementLtd,4560000
Roads,ParkStreet,Medium,230,Medium,50,Medium,350,Medium,20000,humidity,AsianPaints(forpaints&coatings),3410000
Roads,M.G.Road,Low,200,Low,30,Medium,360,Medium,48000,loosesoil,LafargeHolcimIndia,2330000
Roads,BrigadeRoad,Low,390,Low,40,High,460,Low,20000,tightsoil,UltraTechCementLtd,4030000
Roads,CarterRoad,High,280,Low,50,Low,460,High,48000,heavyrain,NerolacPaints,2180000
Roads,JawaharlalNehruRoad,Medium,210,Medium,50,High,310,Medium,24000,humidity,RamcoCementsLtd,4920000
Roads,C.G.Road,Low,220,Low,20,Medium,410,Medium,34000,windy,BergerPaintsIndiaLtd,2650000
Roads,OuterRingRoad,Low,490,High,50,Low,330,Low,42000,loosesoil,SupremeIndustries(forpipes&fittings),3910000
Roads,SarjapurRoad,Medium,380,Medium,30,High,480,Medium,43000,loosesoil,ShreeCementLtd,3250000
Roads,CamacStreet,Low,330,High,20,High,250,High,24000,loosesoil,JindalSteel&PowerLtd,2700000
Roads,BanjaraHillsRoadNo.1,Medium,440,Low,40,Medium,500,Medium,43000,Hightemp,UltraTechCementLtd,4330000
Roads,JuhuTaraRoad,High,200,High,50,High,470,High,25000,Hightemp,DalmiaCement(Bharat)Ltd,2560000
Roads,NewMarketRoad,Medium,440,Medium,20,Medium,500,Low,20000,loosesoil,BergerPaintsIndiaLtd,2970000
Roads,ConnaughtPlaceInnerCircle,Medium,250,Low,20,Medium,270,Low,48000,windy,ACCLimited,2330000
Roads,F.C.Road,Low,300,Medium,50,High,480,Medium,42000,tightsoil,SupremeIndustries(forpipes&fittings),3710000
Roads,KasturbaRoad,Low,500,Low,50,Medium,430,Medium,44000,humidity,ACCLimited,2860000
Roads,AshramRoad,High,430,Low,40,Medium,420,Medium,48000,tightsoil,AsianPaints(forpaints&coatings),4770000
Roads,GariahatRoad,High,500,Low,50,High,380,Medium,46000,heavyrain,AmbujaCementsLtd,3820000
Roads,LinkingRoad,High,210,Medium,20,Low,360,High,50000,humidity,JSWCementLtd,4880000
Roads,PaliHillRoad,Low,340,Low,40,High,500,Low,47000,humidity,DalmiaCement(Bharat)Ltd,2320000
Roads,VittalMallyaRoad,High,220,Medium,50,High,350,Medium,46000,humidity,ShreeCementLtd,2350000
Roads,VIPRoad,Medium,340,Low,30,Low,500,Low,26000,tightsoil,TataSteelLimited,2940000
Roads,BreachCandyRoad,High,260,Low,30,High,490,Low,31000,tightsoil,NerolacPaints,3910000
Roads,CommercialStreet,High,420,Low,50,High,490,Low,40000,loosesoil,AmbujaCementsLtd,2840000
Roads,InfantryRoad,Low,230,High,20,High,420,Low,47000,windy,LafargeHolcimIndia,2540000
Roads,TolstoyRoad,Medium,410,High,40,High,400,Low,46000,tightsoil,SupremeIndustries(forpipes&fittings),4950000
Roads,BurdwanRoad,Medium,250,Medium,20,Medium,280,Low,21000,windy,RamcoCementsLtd,4840000
Roads,Elliot?sBeachRoad,Low,410,Low,40,Medium,370,Low,29000,Hightemp,ACCLimited,2370000
Highways,NationalHighway44(NH44),Medium,270,High,20,Low,220,High,45000,Hightemp,ACCLimited,2600000
Highways,NationalHighway48(NH48),High,300,Medium,50,Medium,360,Medium,40000,humidity,BirlaCement,4620000
Highways,NationalHighway16(NH16),Medium,370,High,30,High,220,High,31000,heavyrain,ShreeCementLtd,4430000
Highways,NationalHighway19(NH19),Medium,330,Low,30,High,320,High,22000,windy,Hindware(HSILLimited),3240000
Highways,Mumbai-PuneExpressway,Medium,460,Low,30,Medium,320,Low,22000,humidity,BergerPaintsIndiaLtd,3330000
Highways,YamunaExpressway,Medium,280,Medium,20,Low,470,Low,50000,heavyrain,TataSteelLimited,4290000
Highways,Delhi?MumbaiExpressway,High,230,Medium,30,Medium,380,High,28000,heavyrain,LafargeHolcimIndia,3120000
Highways,EasternPeripheralExpressway,High,350,Medium,20,Medium,410,Medium,24000,tightsoil,AmbujaCementsLtd,4540000
Highways,WesternPeripheralExpressway,Low,340,Medium,20,Low,490,High,32000,windy,ShreeCementLtd,4320000
Highways,GoldenQuadrilateralHighway,Medium,230,Low,30,Low,260,High,50000,Hightemp,ACCLimited,3850000
Highways,Bengaluru-ChennaiExpressway,Medium,310,Low,40,High,200,Low,29000,heavyrain,Hindware(HSILLimited),4770000
Highways,Hyderabad-BangaloreExpressway,High,480,High,20,Medium,310,Medium,39000,tightsoil,RamcoCementsLtd,3840000
Highways,Ahmedabad-VadodaraExpressway,Low,410,High,40,Medium,480,Medium,23000,loosesoil,BergerPaintsIndiaLtd,4300000
Highways,Chennai-KolkataHighway,Low,310,Medium,20,Low,330,Low,37000,windy,SupremeIndustries(forpipes&fittings),3610000
Highways,North-SouthCorridorHighway,Low,230,Low,30,Medium,500,Low,39000,heavyrain,NerolacPaints,3850000
Highways,East-WestCorridorHighway,Low,350,Medium,30,Medium,440,Low,29000,heavyrain,RamcoCementsLtd,3930000
Highways,Lucknow-AgraExpressway,High,200,High,20,Low,330,Low,35000,windy,ShreeCementLtd,2140000
Highways,Hyderabad-VijayawadaExpressway,Low,290,Medium,20,Low,250,Low,36000,Hightemp,JSWCementLtd,2560000
Highways,Mumbai-GoaHighway,High,340,High,30,Medium,430,High,30000,windy,LafargeHolcimIndia,4150000
Highways,Delhi-MeerutExpressway,Medium,420,High,40,Medium,420,Medium,21000,heavyrain,JSWCementLtd,2000000
Highways,Kanyakumari-BangaloreHighway,Medium,270,High,30,Medium,390,Low,40000,Hightemp,VizagSteel(RINL-RashtriyaIspatNigamLtd),4670000
Highways,GangaExpressway,High,350,Low,20,Low,320,High,36000,humidity,ACCLimited,4780000
Highways,Mumbai-NashikExpressway,Low,430,High,50,High,340,Medium,40000,humidity,UltraTechCementLtd,2450000
Highways,Chennai-SalemExpressway,Low,340,Medium,40,Low,310,Low,31000,tightsoil,ACCLimited,3450000
Highways,Ahmedabad-DholeraExpressway,Medium,400,High,40,Medium,210,Low,48000,Hightemp,JSWCementLtd,4010000
Highways,Nagpur-HyderabadHighway,Low,330,High,40,Low,390,Low,45000,tightsoil,RamcoCementsLtd,4170000
Highways,Pune-BengaluruHighway,Low,240,High,20,Low,270,Low,31000,windy,AsianPaints(forpaints&coatings),2390000
Highways,Jaipur-KishangarhExpressway,Medium,400,High,20,High,430,Low,42000,Hightemp,AmbujaCementsLtd,3690000
Highways,Kolkata-DurgapurExpressway,Medium,240,Medium,20,High,480,High,44000,heavyrain,SupremeIndustries(forpipes&fittings),3840000
Highways,Delhi-JaipurExpressway,High,240,Low,50,High,250,High,43000,tightsoil,UltraTechCementLtd,3890000
Bridges,HowrahBridge,Medium,480,Medium,40,Medium,200,High,25000,Hightemp,RamcoCementsLtd,4540000
Bridges,Bandra-WorliSeaLink,Medium,290,High,20,Medium,360,Low,34000,Hightemp,RamcoCementsLtd,4210000
Bridges,MahatmaGandhiSetu,Medium,220,Medium,30,High,500,Low,24000,Hightemp,ACCLimited,4220000
Bridges,VidyasagarSetu,Low,360,High,20,Low,460,High,27000,tightsoil,Hindware(HSILLimited),3130000
Bridges,GodavariBridge,High,240,Medium,20,Medium,290,High,36000,tightsoil,UltraTechCementLtd,4080000
Bridges,PambanBridge,High,490,Low,50,High,280,High,37000,loosesoil,CeraSanitarywareLtd,2480000
Bridges,KrishnaRajaSagarBridge,Medium,480,High,30,Medium,360,Low,27000,humidity,LafargeHolcimIndia,4220000
Bridges,CoronationBridge,Low,330,Low,30,High,490,Medium,46000,heavyrain,SAIL(SteelAuthorityofIndiaLtd),3670000
Bridges,Dhola-SadiyaBridge,High,320,High,20,Medium,270,High,42000,loosesoil,JindalSteel&PowerLtd,4290000
Bridges,BogibeelBridge,Medium,460,High,30,High,360,Low,42000,loosesoil,BergerPaintsIndiaLtd,3390000
Bridges,FarakkaBarrage,Low,420,Medium,40,High,350,Low,28000,loosesoil,RamcoCementsLtd,3950000
Bridges,VashiBridge,Low,240,Low,50,Low,230,High,43000,heavyrain,UltraTechCementLtd,2150000
Bridges,VikramshilaSetu,High,370,High,40,High,470,Medium,41000,heavyrain,OrientCementLtd,2900000
Bridges,NiveditaBridge,Low,430,Low,20,Low,330,High,48000,humidity,ShreeCementLtd,2440000
Bridges,KoilwarBridge,High,330,Low,40,Low,390,Medium,24000,tightsoil,RamcoCementsLtd,3800000
Bridges,MahanadiBridge,Low,490,High,40,High,200,High,46000,tightsoil,ACCLimited,2940000
Bridges,Korthi-KolharBridge,Medium,370,High,20,High,410,Low,38000,loosesoil,JSWCementLtd,3890000
Bridges,ZuariBridge,Low,370,Low,30,Low,270,Low,37000,Hightemp,DalmiaCement(Bharat)Ltd,2810000
Bridges,NarmadaBridge,Low,340,Medium,40,Low,490,Medium,45000,heavyrain,ACCLimited,4550000
Bridges,SignatureBridge,Medium,290,Medium,40,High,330,High,45000,loosesoil,ShreeCementLtd,2460000
Bridges,MungerGangaBridge,Low,470,Medium,50,Low,410,Low,41000,heavyrain,AmbujaCementsLtd,4430000
Bridges,KanakaDurgaVaradhi,Medium,260,Medium,50,Low,330,Medium,29000,heavyrain,SupremeIndustries(forpipes&fittings),3290000
Bridges,YamunaBridge,Medium,430,Medium,40,Low,250,Low,36000,loosesoil,RamcoCementsLtd,2470000
Bridges,GodavariFourthBridge,Low,450,Low,30,Low,240,Medium,29000,humidity,CeraSanitarywareLtd,2360000
Bridges,BhupenHazarikaSetu,Low,420,High,20,Low,440,High,36000,tightsoil,OrientCementLtd,3680000
Bridges,ChenabRailBridge,Low,390,Medium,50,Low,480,High,28000,heavyrain,JindalSteel&PowerLtd,4110000
Bridges,KachchiDargah-BidupurBridge,Medium,400,Low,20,High,490,Medium,43000,tightsoil,BergerPaintsIndiaLtd,3310000
Bridges,AthirappillyBridge,Medium,200,High,50,High,300,High,50000,humidity,BergerPaintsIndiaLtd,4040000
Bridges,SharavathiBridge,High,280,Low,30,Low,460,Low,48000,windy,ShreeCementLtd,2410000
Bridges,NewJubileeBridge,Low,290,Low,20,Low,220,High,24000,humidity,OrientCementLtd,3770000
Airports,IndiraGandhiInternationalAirport,High,250,Medium,50,High,240,High,46000,windy,JindalSteel&PowerLtd,3250000
Airports,ChhatrapatiShivajiMaharajInternationalAirport,High,440,High,50,Medium,220,Medium,30000,Hightemp,SAIL(SteelAuthorityofIndiaLtd),3120000
Airports,KempegowdaInternationalAirport,Low,360,Medium,40,Low,460,Medium,27000,heavyrain,AsianPaints(forpaints&coatings),3070000
Airports,ChennaiInternationalAirport,Medium,240,Medium,30,Medium,480,Medium,41000,tightsoil,VizagSteel(RINL-RashtriyaIspatNigamLtd),2680000
Airports,NetajiSubhasChandraBoseInternationalAirport,Low,330,Medium,50,Low,490,Low,22000,loosesoil,ShreeCementLtd,4570000
Airports,RajivGandhiInternationalAirport,High,330,High,40,High,320,High,27000,Hightemp,SAIL(SteelAuthorityofIndiaLtd),3010000
Airports,CochinInternationalAirport,High,450,Medium,50,High,230,High,20000,Hightemp,SupremeIndustries(forpipes&fittings),4360000
Airports,PuneInternationalAirport,High,420,High,30,High,420,High,41000,Hightemp,Hindware(HSILLimited),3010000
Airports,GoaInternationalAirport,High,400,Low,20,Low,350,Low,24000,heavyrain,DalmiaCement(Bharat)Ltd,4660000
Airports,SardarVallabhbhaiPatelInternationalAirport,Low,420,High,40,Medium,210,Medium,25000,windy,LafargeHolcimIndia,2430000
Airports,TrivandrumInternationalAirport,High,350,High,40,Low,370,Medium,30000,loosesoil,JindalSteel&PowerLtd,3020000
Airports,JaipurInternationalAirport,Medium,330,Low,20,Low,440,High,38000,humidity,DalmiaCement(Bharat)Ltd,2400000
Airports,ChaudharyCharanSinghInternationalAirport,Low,360,High,30,Medium,240,Low,24000,tightsoil,NerolacPaints,2470000
Airports,BijuPatnaikInternationalAirport,Low,440,Low,30,High,360,Medium,29000,loosesoil,Hindware(HSILLimited),3590000
Airports,LokpriyaGopinathBordoloiInternationalAirport,Medium,210,Medium,30,Low,480,Low,43000,loosesoil,AmbujaCementsLtd,2300000
Airports,MaduraiAirport,Low,300,Medium,40,Low,200,Low,28000,tightsoil,NerolacPaints,4890000
Airports,AmritsarInternationalAirport,Medium,270,Medium,50,Low,490,High,25000,heavyrain,DalmiaCement(Bharat)Ltd,2000000
Airports,VisakhapatnamInternationalAirport,Low,430,Low,20,Low,230,Medium,41000,windy,OrientCementLtd,3450000
Airports,BagdograInternationalAirport,High,430,Low,50,High,290,Low,38000,loosesoil,AsianPaints(forpaints&coatings),4210000
Airports,CoimbatoreInternationalAirport,Low,490,Medium,20,Low,280,High,45000,windy,BirlaCement,3980000
Airports,BhubaneswarAirport,High,200,High,30,High,420,Medium,30000,windy,Hindware(HSILLimited),3200000
Airports,KannurInternationalAirport,Medium,310,High,20,Medium,450,Medium,42000,windy,JSWCementLtd,4580000
Airports,SrinagarInternationalAirport,Low,290,Medium,40,Low,230,High,49000,windy,BirlaCement,3430000
Airports,VadodaraAirport,Medium,340,High,20,Low,440,Medium,38000,humidity,CeraSanitarywareLtd,4200000
Airports,MangaloreInternationalAirport,High,400,Low,50,High,380,Medium,44000,heavyrain,LafargeHolcimIndia,4530000
Airports,RaipurAirport,Low,440,High,50,Low,490,High,40000,windy,SupremeIndustries(forpipes&fittings),4160000
Airports,GayaInternationalAirport,Low,350,High,50,Medium,460,High,20000,heavyrain,DalmiaCement(Bharat)Ltd,2880000
Airports,AgartalaAirport,High,360,Low,30,Medium,380,Medium,50000,tightsoil,SupremeIndustries(forpipes&fittings),4520000
Airports,DehradunAirport,High,470,Medium,20,Medium,230,High,20000,windy,RamcoCementsLtd,4120000
Airports,PatnaAirport,Low,410,High,20,Low,330,Low,24000,Hightemp,AmbujaCementsLtd,3970000
ResidentialBuilding,The42,Medium,460,High,40,High,390,Low,50000,tightsoil,CeraSanitarywareLtd,2390000
ResidentialBuilding,Omkar1973,High,460,Medium,30,Low,350,Low,20000,windy,UltraTechCementLtd,2740000
ResidentialBuilding,PalaisRoyale,High,210,Low,50,Low,300,Medium,44000,loosesoil,DalmiaCement(Bharat)Ltd,2010000
ResidentialBuilding,Antilia,High,480,High,30,Medium,490,Low,50000,loosesoil,DalmiaCement(Bharat)Ltd,3200000
ResidentialBuilding,LodhaThePark,Medium,460,Low,40,Low,260,Medium,30000,heavyrain,Hindware(HSILLimited),4280000
ResidentialBuilding,WorldOne,High,480,High,40,High,230,Low,23000,tightsoil,BergerPaintsIndiaLtd,4230000
ResidentialBuilding,TheCrest,High,230,Low,30,Medium,250,Medium,23000,Hightemp,AmbujaCementsLtd,3540000
ResidentialBuilding,TheAddress,High,480,Low,40,High,350,Low,50000,tightsoil,BirlaCement,4760000
ResidentialBuilding,RahejaRevanta,Low,480,Low,20,Medium,260,Low,32000,loosesoil,JSWCementLtd,2540000
ResidentialBuilding,AtmosphereTower,Low,380,Medium,30,Low,410,Low,38000,tightsoil,CeraSanitarywareLtd,2700000
ResidentialBuilding,LodhaAltamount,Low,430,Low,20,Low,400,Medium,36000,heavyrain,RamcoCementsLtd,3830000
ResidentialBuilding,ImperialHeights,High,270,Medium,30,Low,270,High,48000,windy,CeraSanitarywareLtd,3900000
ResidentialBuilding,OmkarAltaMonte,High,420,High,30,High,270,Low,39000,windy,ACCLimited,3850000
ResidentialBuilding,SkyBelvedere,Medium,210,High,30,Medium,200,Low,42000,tightsoil,ShreeCementLtd,2750000
ResidentialBuilding,MarathonFuturex,Medium,420,Medium,50,Medium,340,High,39000,loosesoil,DalmiaCement(Bharat)Ltd,2370000
ResidentialBuilding,SupernovaSpira,Medium,310,High,30,High,400,High,27000,humidity,Hindware(HSILLimited),2580000
ResidentialBuilding,KalpataruAvana,Low,230,Low,30,High,290,High,30000,tightsoil,SupremeIndustries(forpipes&fittings),2730000
ResidentialBuilding,EktaTripolis,High,220,Medium,50,Low,320,High,30000,loosesoil,SAIL(SteelAuthorityofIndiaLtd),2420000
ResidentialBuilding,L&TCrescentBay,Medium,270,High,50,High,340,Medium,34000,windy,BirlaCement,2470000
ResidentialBuilding,PrestigeShantiniketan,High,380,Medium,30,Low,230,High,31000,tightsoil,NerolacPaints,2620000
ResidentialBuilding,TheImperial,Medium,380,High,30,Medium,460,Medium,36000,windy,OrientCementLtd,4870000
ResidentialBuilding,ArihantAmodini,Low,220,Low,40,High,480,High,20000,Hightemp,Hindware(HSILLimited),3320000
ResidentialBuilding,OberoiSkyCity,Low,390,High,50,High,280,High,28000,Hightemp,BirlaCement,4850000
ResidentialBuilding,LodhaBellissimo,Low,240,Medium,40,Medium,430,Low,50000,heavyrain,VizagSteel(RINL-RashtriyaIspatNigamLtd),2760000
ResidentialBuilding,PiramalMahalaxmi,High,300,High,30,Low,340,Low,29000,heavyrain,RamcoCementsLtd,4550000
ResidentialBuilding,WadhwaSolitaire,Medium,320,High,20,Low,360,Medium,29000,Hightemp,BergerPaintsIndiaLtd,3930000
ResidentialBuilding,CrescentBayTowers,Low,270,Medium,30,Medium,300,Low,31000,windy,CeraSanitarywareLtd,4280000
ResidentialBuilding,DLFTheCamellias,High,350,Medium,30,Medium,420,Medium,31000,windy,SupremeIndustries(forpipes&fittings),2800000
ResidentialBuilding,TheParkTower,Low,410,Low,50,High,420,Low,46000,Hightemp,BirlaCement,3910000
ResidentialBuilding,TataHousingMyst,Low,350,Medium,30,High,280,Low,24000,heavyrain,ShreeCementLtd,3710000
CommercialBuilding,BombayStockExchangeTower,Medium,270,Medium,20,Low,360,Low,29000,humidity,JindalSteel&PowerLtd,3860000
CommercialBuilding,WorldTradeCenterMumbai,Medium,340,Low,40,High,320,Low,30000,tightsoil,DalmiaCement(Bharat)Ltd,3380000
CommercialBuilding,InfosysPuneCampus,Medium,200,Low,30,High,320,High,29000,humidity,ACCLimited,3710000
CommercialBuilding,InfosysBangaloreCampus,Medium,220,Low,50,Low,420,Low,38000,Hightemp,ShreeCementLtd,4810000
CommercialBuilding,CyberHubGurgaon,High,320,High,50,Low,350,High,44000,Hightemp,NerolacPaints,3420000
CommercialBuilding,ManyataTechPark,Medium,470,High,20,Low,500,Medium,44000,humidity,BirlaCement,3510000
CommercialBuilding,DLFCyberCity,High,490,High,40,Medium,360,Low,34000,windy,SupremeIndustries(forpipes&fittings),3580000
CommercialBuilding,SEZNoida,Low,250,High,20,High,470,Low,48000,heavyrain,SAIL(SteelAuthorityofIndiaLtd),4010000
CommercialBuilding,ExpressTowers,Medium,210,Medium,20,High,310,Medium,32000,windy,AsianPaints(forpaints&coatings),4330000
CommercialBuilding,TheCapital,Medium,260,High,30,Medium,480,High,44000,humidity,NerolacPaints,2650000
CommercialBuilding,MakerChambers,Medium,290,Low,50,Low,310,Medium,38000,windy,ACCLimited,2980000
CommercialBuilding,GodrejBKC,High,260,Medium,30,Medium,440,High,33000,windy,NerolacPaints,3290000
CommercialBuilding,OberoiCommerz,High,490,Medium,30,High,260,Low,25000,humidity,Hindware(HSILLimited),3700000
CommercialBuilding,TheRuby,Low,380,Low,40,Low,430,Low,30000,Hightemp,RamcoCementsLtd,2290000
CommercialBuilding,RMZInfinity,High,460,Medium,30,High,270,Medium,49000,heavyrain,RamcoCementsLtd,4860000
CommercialBuilding,MindspaceHyderabad,High,360,Low,20,Low,400,Medium,44000,windy,AsianPaints(forpaints&coatings),3810000
CommercialBuilding,TidelParkChennai,Medium,360,High,30,High,380,Medium,33000,heavyrain,RamcoCementsLtd,2220000
CommercialBuilding,PrestigeTechPark,Medium,340,High,50,Medium,480,Low,41000,heavyrain,SupremeIndustries(forpipes&fittings),2480000
CommercialBuilding,DLFITPark,High,380,High,30,Medium,420,Medium,22000,Hightemp,ShreeCementLtd,4710000
CommercialBuilding,WorldmarkAerocity,Medium,250,Low,20,High,210,Medium,26000,windy,VizagSteel(RINL-RashtriyaIspatNigamLtd),4860000
CommercialBuilding,EONFreeZone,Medium,500,High,50,High,370,Low,49000,humidity,CeraSanitarywareLtd,4900000
CommercialBuilding,EmbassyGolfLinks,Medium,490,Low,40,High,370,High,22000,windy,OrientCementLtd,2040000
CommercialBuilding,WaverockHyderabad,Medium,460,High,40,High,320,Medium,25000,Hightemp,AmbujaCementsLtd,3810000
CommercialBuilding,WeWorkBKC,Medium,500,Low,50,High,230,Low,48000,tightsoil,JindalSteel&PowerLtd,4720000
CommercialBuilding,KohinoorSquare,High,430,Medium,30,High,390,High,27000,loosesoil,JindalSteel&PowerLtd,4480000
CommercialBuilding,ICICITowers,High,480,High,40,High,330,Medium,31000,humidity,AsianPaints(forpaints&coatings),3750000
CommercialBuilding,UBCityBangalore,Medium,260,Low,20,Medium,260,High,29000,tightsoil,UltraTechCementLtd,4000000
CommercialBuilding,I-flexSolutionsCampus,High,290,Low,20,Medium,450,Medium,36000,tightsoil,VizagSteel(RINL-RashtriyaIspatNigamLtd),2060000
CommercialBuilding,ITCGreenCentre,High,450,High,40,Medium,460,Low,30000,windy,JindalSteel&PowerLtd,3970000
CommercialBuilding,WaveOne,Medium,220,High,30,Medium,430,High,24000,windy,TataSteelLimited,4340000
Resorts,TajLakePalaceResort,Low,280,Low,50,Medium,440,High,43000,tightsoil,ACCLimited,2910000
Resorts,TheOberoiUdaivilasResort,Medium,450,Low,30,Medium,440,Low,44000,Hightemp,JindalSteel&PowerLtd,4880000
Resorts,KumarakomLakeResort,Medium,220,High,30,High,370,Low,37000,windy,BirlaCement,3850000
Resorts,TheLeelaResort,Low,300,High,30,Medium,240,High,26000,heavyrain,UltraTechCementLtd,3740000
Resorts,AnandaintheHimalayasResort,High,350,Medium,40,Low,230,Low,34000,humidity,JSWCementLtd,2020000
Resorts,WildflowerHallResort,High,210,High,40,Low,410,Low,40000,loosesoil,AmbujaCementsLtd,2300000
Resorts,AmanbaghResort,High,210,Low,50,High,350,Low,40000,humidity,UltraTechCementLtd,4120000
Resorts,OrangeCountyResort,Low,220,High,40,High,490,Low,29000,humidity,RamcoCementsLtd,3480000
Resorts,ITCGrandResort&Spa,High,490,High,50,Medium,430,Medium,27000,tightsoil,ACCLimited,2870000
Resorts,NeemranaFortResort,Low,360,Medium,20,Medium,240,High,23000,heavyrain,JindalSteel&PowerLtd,3890000
Resorts,TheTamaraResort,High,320,High,30,High,340,Medium,41000,Hightemp,TataSteelLimited,2810000
Resorts,TheKhyberHimalayanResort,High,480,Low,50,Low,210,High,30000,Hightemp,UltraTechCementLtd,4990000
Resorts,SuryagarhResort,High,470,Low,50,Medium,200,Low,27000,Hightemp,ShreeCementLtd,2640000
Resorts,TheSeraiResort,Low,450,Low,40,Medium,220,Low,26000,windy,CeraSanitarywareLtd,2280000
Resorts,MarariBeachResort,Low,450,Medium,50,High,390,Medium,23000,humidity,ACCLimited,3590000
Resorts,RadissonBluResort,Low,410,High,20,High,420,High,41000,tightsoil,DalmiaCement(Bharat)Ltd,2910000
Resorts,AlilaDiwaResort,Low,330,High,40,Low,440,Medium,34000,tightsoil,DalmiaCement(Bharat)Ltd,4040000
Resorts,EvolveBackResort,Medium,280,High,50,Low,330,High,47000,humidity,JSWCementLtd,3650000
Resorts,TheWindflowerResort,Low,250,High,40,Medium,310,Low,21000,loosesoil,ACCLimited,3100000
Resorts,TheLalitResort&Spa,Medium,220,Low,40,Low,470,Medium,41000,windy,LafargeHolcimIndia,3750000
Restaurants,IndianAccent,High,270,High,40,Low,320,Low,35000,Hightemp,AsianPaints(forpaints&coatings),3940000
Restaurants,Bukhara,Low,440,Low,50,High,220,High,29000,heavyrain,NerolacPaints,4850000
Restaurants,DumPukht,Medium,370,Medium,40,Medium,290,Medium,48000,tightsoil,JSWCementLtd,4170000
Restaurants,Gaggan,Medium,440,Medium,30,Medium,500,High,39000,tightsoil,BergerPaintsIndiaLtd,3190000
